GEMS;Date;pH;BOD;TP;O2Dis;NO3N;TEMP;FECALCOLI;NO2N;NH4N;TS;TURB
BRA02280;01/04/2010;6.8;2.0;0.15;7.4;0.03;23.0;92000.0;0.02;0.15;90.0;
BRA02280;01/05/2010;7.1;2.0;0.09;7.4;0.3;;2200.0;0.01;0.25;44.0;
BRA02280;01/06/2010;7.6;2.0;0.09;9.2;0.15;19.0;35000.0;0.01;0.25;140.0;
BRA02280;01/07/2010;6.5;2.0;0.07;8.4;0.2;18.0;790.0;0.02;0.03;65.0;
BRA02280;01/08/2010;6.8;2.0;0.1;8.4;;19.0;1100.0;0.02;0.35;65.0;
BRA02280;01/09/2010;6.9;2.0;0.05;9.0;;21.0;2200.0;0.01;0.11;67.0;
BRA02280;01/10/2010;7.2;2.0;0.08;7.4;;21.0;16000.0;0.02;0.24;34.0;14.0
BRA02280;01/11/2010;7.2;2.0;0.08;7.8;;21.0;1700.0;0.06;0.44;49.0;21.0
BRA02280;01/12/2010;7.3;2.0;0.15;8.2;;27.0;16000.0;0.01;;146.0;83.0
BRA02280;01/01/2011;6.7;2.0;0.22;6.6;;26.0;1300.0;;;89.0;77.0
BRA02280;01/02/2011;;;;;;;;;;;
BRA02280;01/03/2011;7.2;2.0;0.11;7.6;;26.0;230.0;;;109.0;
BRA02280;01/04/2011;7.3;2.0;0.1;8.4;;25.0;5400.0;;;69.0;
BRA02280;01/05/2011;7.9;2.0;0.08;9.8;;23.0;2200.0;;;50.0;20.0
BRA02280;01/06/2011;7.3;2.0;0.06;8.8;;20.0;1100.0;;;102.0;10.7
BRA02280;01/07/2011;7.4;2.0;0.18;8.6;;20.0;3500.0;;;92.0;8.9
BRA02280;01/08/2011;7.4;2.0;0.43;8.4;;20.0;3300.0;;;207.0;10.3
BRA02280;01/09/2011;7.7;2.0;0.1;8.4;;;790.0;;;78.0;7.4
BRA02280;01/10/2011;7.4;2.0;0.08;8.4;;22.0;490.0;;;61.0;11.0
BRA02280;01/11/2011;;;;;;;;;;;
BRA02280;01/12/2011;;;;;;;;;;;
BRA02280;01/01/2012;8.4;;0.35;7.8;0.01;;16000.0;0.01;0.76;107.0;40.0
BRA02280;01/02/2012;8.2;2.0;0.17;7.6;0.04;;92000.0;0.04;0.18;252.0;30.9
BRA02280;01/03/2012;8.0;2.0;0.08;7.4;;;5400.0;0.02;0.16;96.0;20.0
BRA02280;01/04/2012;8.0;2.0;0.11;7.4;2.75;25.0;14000.0;0.02;0.65;126.0;39.0
BRA02280;01/05/2012;7.7;2.0;0.07;8.6;0.72;22.0;780.0;0.008;0.08;97.0;7.1
BRA02280;01/06/2012;7.0;2.0;0.12;8.4;0.7;19.0;4900.0;0.01;0.14;79.0;111.0
BRA02280;01/07/2012;7.0;2.0;0.08;8.4;0.84;20.0;4900.0;0.01;0.28;103.0;10.0
BRA02280;01/08/2012;7.9;2.0;0.07;8.8;0.89;21.0;7900.0;0.007;0.09;49.0;7.4
BRA02280;01/09/2012;7.6;2.0;0.05;8.0;0.79;23.0;780.0;0.09;0.1;100.0;2.2
BRA02280;01/10/2012;7.1;2.0;0.08;7.0;1.3;25.0;13000.0;0.001;0.01;94.0;7.7
BRA02280;01/11/2012;8.3;2.0;0.24;6.6;1.1;27.0;7900.0;0.01;0.11;242.0;86.0
BRA02280;01/12/2012;9.1;2.0;0.08;6.6;0.72;26.0;780.0;0.01;0.01;78.0;3.2
BRA02280;01/01/2013;7.4;5.0;0.14;5.8;;25.0;130000.0;;;0.14;41.0
BRA02280;01/02/2013;7.4;2.0;0.1;7.0;;27.0;13000.0;;;0.1;25.0
BRA02280;01/03/2013;7.4;2.0;0.08;7.8;;21.0;1300.0;;;0.08;27.0
BRA02280;01/04/2013;;;;;;;;;;;
BRA02280;01/05/2013;7.4;2.0;0.16;5.63;;23.0;;;;0.16;7.5
BRA02280;01/06/2013;7.4;2.0;0.12;7.8;;22.0;4900.0;;;0.12;7.1
BRA02280;01/07/2013;7.4;2.0;0.08;8.4;;20.0;2300.0;;;0.08;19.8
BRA02280;01/08/2013;7.4;2.0;0.07;8.2;;22.0;3300.0;;;0.07;4.0
BRA02280;01/09/2013;7.4;2.0;0.08;7.8;;22.0;780.0;;;0.08;4.6
BRA02280;01/10/2013;7.4;2.0;0.14;8.2;;21.0;1300.0;;;0.14;5.6
BRA02280;01/11/2013;7.4;2.0;0.25;7.2;;21.0;24000.0;;;0.25;61.0
BRA02280;01/12/2013;7.4;3.2;0.1;5.8;;25.0;24000.0;;;0.1;28.0
BRA02280;01/01/2014;7.3;2.0;0.12;6.6;;;3300.0;;;59.0;13.0
BRA02280;01/02/2014;6.9;2.0;0.06;6.6;;29.0;2300.0;;;52.0;4.9
BRA02280;01/03/2014;7.0;2.0;0.05;6.8;;27.0;13000.0;;;44.0;14.0
BRA02280;01/04/2014;6.6;2.0;;;;27.0;;;;;
BRA02280;01/05/2014;6.9;2.0;0.08;8.0;;24.0;3300.0;;;85.0;6.8
BRA02280;01/06/2014;6.8;2.0;0.02;7.62;;22.0;3300.0;;;78.0;0.4
BRA02280;01/07/2014;7.7;2.0;0.09;8.6;;19.0;1700.0;;;94.0;4.7
BRA02280;01/08/2014;7.0;2.0;0.08;8.6;;22.0;780.0;;;79.0;3.0
BRA02280;01/09/2014;7.5;2.0;0.02;8.8;;21.0;2300.0;;;74.0;2.1
BRA02280;01/10/2014;6.8;2.0;0.14;8.0;;24.0;1100.0;;;78.0;3.3
BRA02280;01/11/2014;7.1;2.0;0.1;6.6;;22.0;7900.0;;;;7.8
BRA02280;01/12/2014;;;;;;25.0;;;;;
BRA02280;01/01/2015;;;;;;25.0;;;;;
BRA02280;01/02/2015;7.2;2.0;0.07;8.0;0.28;26.0;3500.0;0.01;0.1;;18.0
BRA02280;01/03/2015;7.4;2.0;0.07;5.4;0.6;23.0;17000.0;0.02;0.23;;9.4
BRA02280;01/04/2015;6.6;2.0;0.1;7.8;;25.0;160000.0;;0.34;;11.0
BRA02280;01/05/2015;6.9;3.2;0.09;7.4;;21.0;4500.0;;0.87;;5.7
BRA02280;01/06/2015;7.6;2.0;0.12;8.0;;20.0;330.0;;0.1;;2.4
BRA02280;01/07/2015;7.0;2.0;0.12;8.6;1.52;20.0;3000.0;0.02;0.1;;2.2
BRA02280;01/08/2015;6.9;2.0;0.03;9.2;1.51;22.0;490.0;0.02;0.14;91.0;6.2
BRA02280;01/09/2015;7.3;2.0;0.09;7.6;1.5;21.0;4500.0;0.02;0.5;;3.9
BRA02280;01/10/2015;7.0;2.0;0.08;7.6;1.24;25.0;1300.0;0.01;0.16;;1.98
BRA02280;01/11/2015;7.1;2.0;0.08;6.8;1.32;25.0;2300.0;0.02;0.1;;13.8
BRA02280;01/12/2015;7.3;2.0;0.17;6.6;0.1;23.0;16000.0;0.1;0.1;157.0;31.4
